modul,level,regional,witel,data_points,n_test,MAE,RMSE,MAPE,sMAPE,MASE,Skill_vs_Naive,KPI_pass,trained_at
avg_install_days,nasional,NASIONAL,-,50,6,0.8861,1.0423,10.2076,10.7479,0.0184,0.4798,LULUS,2026-05-21 09:42:46
avg_install_days,regional,REG-1,-,45,6,0.2073,0.2354,10.2156,10.505,0.0142,0.2322,LULUS,2026-05-21 09:43:03
avg_install_days,regional,REG-2,-,45,6,0.1792,0.2474,10.6758,10.3,0.0203,0.4342,LULUS,2026-05-21 10:21:04
avg_install_days,regional,REG-3,-,49,6,0.4967,0.5184,33.7848,41.2726,0.0601,-1.3283,GAGAL,2026-05-21 12:51:31
avg_install_days,regional,REG-4,-,42,6,0.586,0.7846,48.201,35.4006,0.267,-1.2686,GAGAL,2026-05-21 12:51:38
avg_install_days,regional,REG-5,-,46,6,0.4541,0.528,19.5008,20.4075,0.0191,0.5161,LULUS,2026-05-21 10:27:34
avg_install_days,witel,REG-1,ACEH,42,6,2.4869,2.9941,75.5291,81.8027,0.6674,-1.8368,GAGAL,2026-05-21 12:51:47
avg_install_days,witel,REG-1,LAMPUNG BENGKULU,43,6,0.8257,0.9988,33.4258,39.5987,0.1316,0.0247,GAGAL,2026-05-21 12:51:56
avg_install_days,witel,REG-1,RIAU,43,6,0.501,0.6346,31.8218,35.7529,0.0856,-0.3184,GAGAL,2026-05-21 12:52:04
avg_install_days,witel,REG-1,SUMBAGSEL,42,6,0.3367,0.409,25.0696,23.8954,0.0703,-0.2704,LULUS DENGAN CATATAN,2026-05-21 12:52:08
avg_install_days,witel,REG-1,SUMBAR JAMBI,45,6,1.9935,2.0475,97.3224,130.767,0.1278,-1.6818,GAGAL,2026-05-21 12:52:15
avg_install_days,witel,REG-1,SUMUT,44,6,7.9748,7.993,492.4924,140.8622,0.7562,-10.0,GAGAL,2026-05-21 12:52:20
avg_install_days,witel,REG-2,BANDUNG,43,6,2.1667,2.1769,159.3015,87.6394,0.689,-5.7709,GAGAL,2026-05-21 12:52:25
avg_install_days,witel,REG-2,BANTEN,41,5,1.7232,1.7421,73.1433,52.6472,0.4221,-2.2029,GAGAL,2026-05-21 12:52:29
avg_install_days,witel,REG-2,BEKASI KARAWANG,44,6,0.2228,0.2824,14.9421,15.3611,0.023,0.3108,LULUS,2026-05-21 10:21:57
avg_install_days,witel,REG-2,JAKARTA CENTRUM,43,6,0.3056,0.4041,25.5899,22.9893,0.0426,0.6258,LULUS,2026-05-21 10:22:12
avg_install_days,witel,REG-2,JAKARTA INNER,41,5,1.4618,1.531,88.8139,57.5596,0.4155,-2.8469,GAGAL,2026-05-21 12:52:34
avg_install_days,witel,REG-2,JAKARTA OUTER,41,5,0.6796,0.7607,32.347,28.3465,0.3819,0.0179,LULUS,2026-05-21 10:22:39
avg_install_days,witel,REG-2,PRIANGAN BARAT,43,6,2.1402,2.1903,125.5739,75.6728,0.3557,-1.0678,GAGAL,2026-05-21 12:52:41
avg_install_days,witel,REG-2,PRIANGAN TIMUR,41,5,0.5567,0.592,39.4973,31.8846,0.3608,-2.4364,GAGAL,2026-05-21 12:52:45
avg_install_days,witel,REG-3,BALI,42,6,0.7025,0.8169,31.551,25.5644,0.3418,-0.124,LULUS DENGAN CATATAN,2026-05-21 12:52:49
avg_install_days,witel,REG-3,JATIM BARAT,41,5,0.6725,0.6743,53.0927,41.8759,0.466,-4.0186,GAGAL,2026-05-21 12:52:54
avg_install_days,witel,REG-3,JATIM TIMUR,44,6,1.2612,1.6685,160.3964,62.1723,0.261,-5.7566,GAGAL,2026-05-21 12:53:08
avg_install_days,witel,REG-3,NUSA TENGGARA,44,6,2.323,2.4229,129.933,72.7393,0.5788,-2.6775,GAGAL,2026-05-21 12:53:13
avg_install_days,witel,REG-3,SEMARANG JATENG UTARA,44,6,7.5297,7.5418,670.0325,153.3183,0.6351,-10.0,GAGAL,2026-05-21 12:53:21
avg_install_days,witel,REG-3,SOLO JATENG TIMUR,41,5,1.4045,1.5067,101.0727,61.8669,0.5036,-2.4594,GAGAL,2026-05-21 12:53:25
avg_install_days,witel,REG-3,SURAMADU,42,6,0.1988,0.2253,17.2229,19.4095,0.0311,0.3299,LULUS,2026-05-21 10:25:53
avg_install_days,witel,REG-3,YOGYA JATENG SELATAN,45,6,3.9989,4.0221,232.8512,104.8221,0.4717,-7.821,GAGAL,2026-05-21 12:53:30
avg_install_days,witel,REG-4,BALIKPAPAN,41,5,0.8001,0.9278,63.1502,65.0505,0.4835,-0.527,GAGAL,2026-05-21 12:53:35
avg_install_days,witel,REG-4,KALBAR,41,5,0.7791,0.9165,25.9826,47.2941,0.3993,0.0725,GAGAL,2026-05-21 12:53:39
avg_install_days,witel,REG-4,KALSELTENG,41,5,0.4809,0.6437,35.1823,26.5917,0.3716,-0.6245,GAGAL,2026-05-21 12:53:44
avg_install_days,witel,REG-4,KALTIMTARA,42,6,0.7413,1.088,39.782,43.7434,0.2833,-0.9679,GAGAL,2026-05-21 12:53:48
avg_install_days,witel,REG-5,PAPUA,42,6,0.7539,0.8379,38.1207,45.0839,0.0608,0.3377,GAGAL,2026-05-21 12:53:55
avg_install_days,witel,REG-5,PAPUA BARAT,41,5,1.3313,1.3611,57.5258,43.9542,0.5228,0.4995,GAGAL,2026-05-21 12:53:59
avg_install_days,witel,REG-5,SULBAGSEL,44,6,1.1697,1.3292,43.4718,61.3408,0.075,-0.5665,GAGAL,2026-05-21 12:54:20
avg_install_days,witel,REG-5,SULBAGTENG,43,6,0.5102,0.5492,25.2601,26.6549,0.07,0.2151,LULUS,2026-05-21 10:28:59
avg_install_days,witel,REG-5,SUMALUT,43,6,0.9225,0.9431,58.5717,70.6235,0.1161,0.5939,GAGAL,2026-05-21 12:54:27
churn_hsi,nasional,NASIONAL,-,40,5,2791.2344,3351.7019,28.5234,26.5331,0.5957,0.017,LULUS,2026-05-20 23:15:47
