modul,level,regional,witel,data_points,n_test,MAE,RMSE,MAPE,sMAPE,MASE,Skill_vs_Naive,KPI_pass,trained_at
avg_install_days,nasional,NASIONAL,-,50,6,0.9819,1.1564,11.648,10.8563,0.0204,0.4001,LULUS,2026-05-15 01:19:53
avg_install_days,regional,REG-1,-,45,6,0.1358,0.1605,6.783,6.7429,0.0093,0.497,LULUS,2026-05-21 09:42:50
avg_install_days,regional,REG-2,-,45,6,0.2348,0.2608,13.7923,13.1599,0.0266,0.2586,LULUS,2026-05-21 12:03:35
avg_install_days,regional,REG-3,-,49,6,0.1338,0.1674,8.8574,8.9606,0.0162,0.3726,LULUS,2026-05-21 12:03:39
avg_install_days,regional,REG-4,-,42,6,0.3607,0.426,29.689,24.6108,0.1643,-0.3964,LULUS DENGAN CATATAN,2026-05-21 12:25:27
avg_install_days,regional,REG-5,-,46,6,0.462,0.5289,20.5744,18.5006,0.0194,0.5077,LULUS,2026-05-21 12:25:29
avg_install_days,witel,REG-1,ACEH,42,6,0.6323,0.794,18.8075,18.8377,0.1697,0.2788,LULUS,2026-05-21 09:43:07
avg_install_days,witel,REG-1,LAMPUNG BENGKULU,43,6,0.5398,0.6325,21.3259,24.6659,0.0861,0.3624,LULUS,2026-05-21 09:43:32
avg_install_days,witel,REG-1,RIAU,43,6,0.3344,0.379,22.7573,20.1014,0.0571,0.12,LULUS,2026-05-21 09:43:50
avg_install_days,witel,REG-1,SUMBAGSEL,42,6,0.2461,0.3133,18.1205,17.5506,0.0513,0.0715,LULUS,2026-05-21 09:44:08
avg_install_days,witel,REG-1,SUMBAR JAMBI,45,6,0.4196,0.5258,21.3574,18.2952,0.0269,0.4355,LULUS,2026-05-21 09:44:20
avg_install_days,witel,REG-1,SUMUT,44,6,0.338,0.3628,19.6322,21.8899,0.032,0.006,LULUS,2026-05-21 09:44:36
avg_install_days,witel,REG-2,BANDUNG,43,6,0.2669,0.3326,20.5575,17.9425,0.0849,0.166,LULUS,2026-05-21 10:21:09
avg_install_days,witel,REG-2,BANTEN,41,5,0.3999,0.4361,17.5696,16.4746,0.098,0.2567,LULUS,2026-05-21 10:21:23
avg_install_days,witel,REG-2,BEKASI KARAWANG,44,6,0.2789,0.3127,21.4375,19.0125,0.0288,0.1375,LULUS,2026-05-21 10:21:35
avg_install_days,witel,REG-2,JAKARTA CENTRUM,43,6,0.4455,0.5022,39.8091,30.8483,0.0621,0.4545,GAGAL,2026-05-21 12:03:49
avg_install_days,witel,REG-2,JAKARTA INNER,41,5,0.4193,0.5062,26.1369,23.6767,0.1192,-0.1034,LULUS DENGAN CATATAN,2026-05-21 12:03:52
avg_install_days,witel,REG-2,JAKARTA OUTER,41,5,0.5813,0.8696,22.4255,27.8607,0.3267,0.16,LULUS,2026-05-21 10:22:30
avg_install_days,witel,REG-2,PRIANGAN BARAT,43,6,0.3968,0.4304,23.2551,20.4718,0.0659,0.6167,LULUS,2026-05-21 10:22:43
avg_install_days,witel,REG-2,PRIANGAN TIMUR,41,5,0.254,0.2699,16.8011,17.1458,0.1647,-0.5682,GAGAL,2026-05-21 12:25:34
avg_install_days,witel,REG-3,BALI,42,6,0.516,0.595,19.7431,21.2295,0.2511,0.1745,LULUS,2026-05-21 10:23:58
avg_install_days,witel,REG-3,JATIM BARAT,41,5,0.0794,0.088,6.3592,6.1263,0.055,0.4073,LULUS,2026-05-21 10:24:13
avg_install_days,witel,REG-3,JATIM TIMUR,44,6,0.1245,0.1539,16.2305,12.3457,0.0258,0.3329,LULUS,2026-05-21 10:24:26
