modul,level,regional,witel,data_points,n_test,MAE,RMSE,MAPE,sMAPE,MASE,Skill_vs_Naive,KPI_pass,trained_at
avg_install_days,nasional,NASIONAL,-,50,6,1.1109,1.2832,12.9754,12.175,0.0231,0.3478,LULUS,2026-05-21 09:42:33
avg_install_days,regional,REG-1,-,45,6,0.2299,0.2868,11.1492,11.7658,0.0158,0.1487,LULUS,2026-05-21 09:42:53
avg_install_days,regional,REG-2,-,45,6,0.2369,0.2637,14.167,13.4484,0.0269,0.252,LULUS,2026-05-21 09:44:55
avg_install_days,regional,REG-3,-,49,6,0.4177,0.5122,30.0797,24.612,0.0506,-0.9579,GAGAL,2026-05-21 12:04:33
avg_install_days,regional,REG-4,-,42,6,0.4715,0.5652,38.2124,31.319,0.2148,-0.825,GAGAL,2026-05-21 12:04:36
avg_install_days,regional,REG-5,-,46,6,0.6349,0.7137,28.7459,24.3886,0.0267,0.3234,LULUS,2026-05-21 10:27:19
avg_install_days,witel,REG-1,ACEH,42,6,0.5292,0.6529,16.1873,15.8079,0.142,0.3964,LULUS,2026-05-21 09:43:08
avg_install_days,witel,REG-1,LAMPUNG BENGKULU,43,6,0.5829,0.6532,23.3913,27.0049,0.0929,0.3115,LULUS,2026-05-21 09:43:34
avg_install_days,witel,REG-1,RIAU,43,6,0.2985,0.3675,20.6512,18.0791,0.051,0.2145,LULUS,2026-05-21 09:43:53
avg_install_days,witel,REG-1,SUMBAGSEL,42,6,0.2052,0.3147,13.5663,14.9713,0.0428,0.2257,LULUS,2026-05-21 09:44:09
avg_install_days,witel,REG-1,SUMBAR JAMBI,45,6,0.4425,0.5367,22.2478,19.1959,0.0284,0.4047,LULUS,2026-05-21 09:44:22
avg_install_days,witel,REG-1,SUMUT,44,6,0.3479,0.3844,20.4839,23.3176,0.033,-0.0233,LULUS,2026-05-21 09:44:40
avg_install_days,witel,REG-2,BANDUNG,43,6,0.2157,0.2863,15.997,16.2726,0.0686,0.3259,LULUS,2026-05-21 10:21:11
avg_install_days,witel,REG-2,BANTEN,41,5,0.3755,0.4259,16.7297,15.4733,0.092,0.302,LULUS,2026-05-21 10:21:25
avg_install_days,witel,REG-2,BEKASI KARAWANG,44,6,0.1897,0.2273,15.2631,13.7177,0.0196,0.4134,LULUS,2026-05-21 10:21:41
avg_install_days,witel,REG-2,JAKARTA CENTRUM,43,6,0.4926,0.5354,44.04,33.6247,0.0686,0.3968,GAGAL,2026-05-21 12:26:01
avg_install_days,witel,REG-2,JAKARTA INNER,41,5,0.4767,0.5396,30.0755,25.6709,0.1355,-0.2544,LULUS DENGAN CATATAN,2026-05-21 10:22:19
avg_install_days,witel,REG-2,JAKARTA OUTER,41,5,0.5987,0.8464,24.1359,29.5904,0.3365,0.1348,LULUS,2026-05-21 10:22:31
avg_install_days,witel,REG-2,PRIANGAN BARAT,43,6,0.4292,0.4537,25.1483,22.0237,0.0713,0.5853,LULUS,2026-05-21 10:22:46
avg_install_days,witel,REG-2,PRIANGAN TIMUR,41,5,0.1796,0.1919,11.7974,12.1486,0.1164,-0.1089,LULUS DENGAN CATATAN,2026-05-21 12:26:05
avg_install_days,witel,REG-3,BALI,42,6,0.5703,0.6302,22.4601,23.6628,0.2775,0.0875,LULUS,2026-05-21 10:24:01
avg_install_days,witel,REG-3,JATIM BARAT,41,5,0.0723,0.0979,5.8449,5.547,0.0501,0.4603,LULUS,2026-05-21 10:24:15
avg_install_days,witel,REG-3,JATIM TIMUR,44,6,0.0758,0.0871,6.8017,7.5169,0.0157,0.5939,LULUS,2026-05-21 10:24:28
avg_install_days,witel,REG-3,NUSA TENGGARA,44,6,0.5663,0.6722,28.8376,27.4616,0.1411,0.1034,LULUS,2026-05-21 12:26:07
avg_install_days,witel,REG-3,SEMARANG JATENG UTARA,44,6,0.151,0.1753,13.1884,12.4216,0.0127,0.6729,LULUS,2026-05-21 10:25:15
avg_install_days,witel,REG-3,SOLO JATENG TIMUR,41,5,0.3425,0.4708,25.6781,20.6727,0.1228,0.1564,LULUS,2026-05-21 12:04:48
avg_install_days,witel,REG-3,SURAMADU,42,6,0.0925,0.1175,8.1141,8.5415,0.0145,0.6883,LULUS,2026-05-21 10:25:42
avg_install_days,witel,REG-3,YOGYA JATENG SELATAN,45,6,0.5725,0.7348,28.472,28.6512,0.0675,-0.2629,LULUS DENGAN CATATAN,2026-05-21 12:04:50
avg_install_days,witel,REG-4,BALIKPAPAN,41,5,0.4334,0.4666,22.5968,42.2905,0.2619,0.1728,GAGAL,2026-05-21 12:26:11
avg_install_days,witel,REG-4,KALBAR,41,5,0.4512,0.5732,23.7786,33.3828,0.2313,0.4629,GAGAL,2026-05-21 12:26:13
avg_install_days,witel,REG-4,KALSELTENG,41,5,0.209,0.2458,14.3162,13.392,0.1615,0.2939,LULUS,2026-05-21 10:26:55
