modul,level,regional,witel,data_points,n_test,MAE,RMSE,MAPE,sMAPE,MASE,Skill_vs_Naive,KPI_pass,trained_at
avg_install_days,nasional,NASIONAL,-,50,6,54.1385,95.9596,636.3799,176.9166,1.1241,-10.0,False,2026-05-21 12:26:40
avg_install_days,regional,REG-1,-,45,6,1.6884,2.0025,84.6394,130.2188,0.116,-5.2532,False,2026-05-21 12:26:44
avg_install_days,regional,REG-2,-,45,6,1.4963,1.5677,88.2714,146.7626,0.1696,-3.7252,False,2026-05-21 12:26:48
avg_install_days,regional,REG-3,-,49,6,13.6258,25.5809,983.2828,183.9725,1.6491,-10.0,False,2026-05-21 12:26:51
avg_install_days,regional,REG-4,-,42,6,3.6912,6.6029,300.6153,191.8102,1.6816,-10.0,False,2026-05-21 12:26:55
avg_install_days,regional,REG-5,-,46,6,2.1719,2.2755,91.9156,153.0935,0.0913,-1.3146,False,2026-05-21 12:26:59
avg_install_days,witel,REG-1,ACEH,42,6,11.8375,24.2777,282.2649,102.1109,3.1767,-10.0,False,2026-05-21 12:27:11
avg_install_days,witel,REG-1,LAMPUNG BENGKULU,43,6,2.1844,2.3913,90.8332,143.9841,0.3482,-1.58,False,2026-05-21 12:27:14
avg_install_days,witel,REG-1,RIAU,43,6,1.5309,1.6878,89.5388,148.3775,0.2614,-3.0287,False,2026-05-21 12:27:18
avg_install_days,witel,REG-1,SUMBAGSEL,42,6,1.4488,1.4927,106.3461,192.9739,0.3023,-4.4671,False,2026-05-21 12:27:22
avg_install_days,witel,REG-1,SUMBAR JAMBI,45,6,1.8209,1.953,84.6844,144.2682,0.1167,-1.4497,False,2026-05-21 12:27:25
avg_install_days,witel,REG-1,SUMUT,44,6,1.6402,1.7264,97.4757,167.7589,0.1555,-3.824,False,2026-05-21 12:27:29
avg_install_days,witel,REG-2,BANDUNG,43,6,1.2656,1.3184,89.8436,167.1338,0.4025,-2.9551,False,2026-05-21 12:27:32
avg_install_days,witel,REG-2,BANTEN,41,5,3.0058,3.1341,123.412,171.5565,0.7363,-4.5869,False,2026-05-21 12:27:35
avg_install_days,witel,REG-2,BEKASI KARAWANG,44,6,1.248,1.2714,93.6665,159.7857,0.1287,-2.8599,False,2026-05-21 12:27:39
avg_install_days,witel,REG-2,JAKARTA CENTRUM,43,6,1.255,1.2831,97.6875,186.9253,0.1748,-0.5367,False,2026-05-21 12:27:43
avg_install_days,witel,REG-2,JAKARTA INNER,41,5,1.912,2.0296,99.5204,177.7137,0.5435,-4.0317,False,2026-05-21 12:27:46
avg_install_days,witel,REG-2,JAKARTA OUTER,41,5,2.0996,2.2569,96.2747,173.3969,1.18,-2.034,False,2026-05-21 12:27:48
avg_install_days,witel,REG-2,PRIANGAN BARAT,43,6,1.7075,1.7386,98.8231,159.0218,0.2838,-0.6498,False,2026-05-21 12:27:52
avg_install_days,witel,REG-2,PRIANGAN TIMUR,41,5,1.4419,1.4648,94.9538,181.9912,0.9346,-7.9008,False,2026-05-21 12:27:54
avg_install_days,witel,REG-3,BALI,42,6,1.8344,1.9949,70.1675,118.2735,0.8927,-1.9351,False,2026-05-21 12:27:57
avg_install_days,witel,REG-3,JATIM BARAT,41,5,1.1244,1.1371,89.1103,157.6419,0.7792,-7.391,False,2026-05-21 12:28:00
avg_install_days,witel,REG-3,JATIM TIMUR,44,6,0.9724,0.9813,89.2824,174.2884,0.2012,-4.2093,False,2026-05-21 12:28:04
avg_install_days,witel,REG-3,NUSA TENGGARA,44,6,2.1192,2.2593,97.677,175.8713,0.528,-2.355,False,2026-05-21 12:28:07
avg_install_days,witel,REG-3,SEMARANG JATENG UTARA,44,6,1.0328,1.0616,89.8308,169.1661,0.0871,-1.2371,False,2026-05-21 12:28:11
avg_install_days,witel,REG-3,SOLO JATENG TIMUR,41,5,1.3959,1.5381,84.9133,160.7486,0.5005,-2.4381,False,2026-05-21 12:28:13
avg_install_days,witel,REG-3,SURAMADU,42,6,1.1173,1.1218,97.4441,181.7986,0.1748,-2.7662,False,2026-05-21 12:28:17
avg_install_days,witel,REG-3,YOGYA JATENG SELATAN,45,6,1.5426,1.7238,79.4398,136.0869,0.182,-2.4027,False,2026-05-21 12:28:20
avg_install_days,witel,REG-4,BALIKPAPAN,41,5,0.9358,1.0023,86.5742,161.2629,0.5655,-0.7859,False,2026-05-21 12:28:23
avg_install_days,witel,REG-4,KALBAR,41,5,1.3316,1.5512,95.8743,147.6522,0.6825,-0.5853,False,2026-05-21 12:28:25
avg_install_days,witel,REG-4,KALSELTENG,41,5,0.4444,0.585,28.0853,36.4059,0.3434,-0.5014,False,2026-05-21 12:28:28
avg_install_days,witel,REG-4,KALTIMTARA,42,6,1.3097,1.4035,122.1057,192.9482,0.5005,-2.4771,False,2026-05-21 12:28:31
avg_install_days,witel,REG-5,PAPUA,42,6,1.9687,2.2899,108.9054,113.1998,0.1588,-0.7294,False,2026-05-21 12:28:34
avg_install_days,witel,REG-5,PAPUA BARAT,41,5,1.3315,1.5245,55.3444,57.1305,0.5229,0.4994,False,2026-05-21 12:28:37
avg_install_days,witel,REG-5,SULBAGSEL,44,6,2.7985,2.9033,97.1759,170.2642,0.1794,-2.7479,False,2026-05-21 12:28:40
avg_install_days,witel,REG-5,SULBAGTENG,43,6,1.8402,1.963,84.1798,159.2823,0.2525,-1.831,False,2026-05-21 12:28:43
avg_install_days,witel,REG-5,SUMALUT,43,6,1.5525,1.665,87.7787,160.3085,0.1954,0.3166,False,2026-05-21 12:28:46
churn_hsi,nasional,NASIONAL,-,40,5,7460.8281,9821.6621,65.6472,45.1479,1.5923,-1.6274,False,2026-05-21 12:28:48
churn_hsi,regional,REG-1,-,40,5,1968.6569,2061.7563,92.1023,74.7146,1.8559,-1.365,False,2026-05-21 12:28:50
churn_hsi,regional,REG-2,-,40,5,2906.646,3608.9626,92.1631,54.2094,1.7938,-4.0994,False,2026-05-21 12:28:52
churn_hsi,regional,REG-3,-,40,5,2162.1265,2587.0005,89.6386,55.4936,1.992,-3.6921,False,2026-05-21 12:28:54
churn_hsi,regional,REG-4,-,40,5,920.2923,1108.6919,101.8195,60.9591,2.0464,-1.5297,False,2026-05-21 12:28:56
churn_hsi,regional,REG-5,-,40,5,914.1621,1104.5303,54.3922,46.2278,1.2067,-0.4923,False,2026-05-21 12:28:58
churn_hsi,witel,REG-1,ACEH,20,3,165.714,174.7974,84.544,78.4066,0.8751,-0.1172,False,2026-05-21 12:29:15
churn_hsi,witel,REG-1,Aceh,20,3,2844.0291,4389.4531,787.3344,144.5424,20.3326,-5.4637,False,2026-05-21 09:01:53
